"Customer.Num","Gpch","Reportables","Revenue","Industry","Family","ParameterPanel","type"
"3170001168","AST",2000,263.04,"Gov: University","ClinChem fully automated","Enzymes","Public"
"3170403266","TRANS",3461,3562.24,"Gov: Hospital","ClinChem fully automated","Specific Proteins","Public"
"3170405181","PTH",768,2060.82,"Gov: Hospital","Immunology","Bone","Public"
"3170006669","HCG+B",3720,1984.85,"Prv: Laboratory","Immunology","Fertility","Private"
"3170001157","UREA/BUN",500,59.8,"Gov: University","ClinChem fully automated","Substrates","Public"
"3170438482","HDL-C",33250,0,"Prv: Laboratory","ClinChem fully automated","Substrates","Private"
"3170007089","PSA",9997,5820.64,"Prv: Laboratory","Immunology","Oncology","Private"
"3170006532","GLU",196081,9951.93,"Prv: Laboratory","ClinChem fully automated","Substrates","Private"
"3170007423","UA",24214,2371.39,"Prv: Laboratory","ClinChem fully automated","Substrates","Private"
"3170006669","CK",10417,857.27,"Prv: Laboratory","ClinChem fully automated","Enzymes","Private"
"3170405071","AMIK",1782,6544.18,"Gov: Hospital","ClinChem fully automated","TDM","Public"
"3170007607","B2MG",411,904.49,"Prv: Laboratory","ClinChem fully automated","Specific Proteins","Private"
"3170405801","Anti-TG",312,660.24,"Prv: Laboratory","Immunology","Thyroid","Private"
"3170007824","Anti-SARS-CoV-2",6600,10387.74,"Prv: Laboratory","Immunology","Respiratory","Private"
"3170403276","HCG+B",3768,9142.56,"Gov: Hospital","Immunology","Fertility","Public"
"3170404565","CMV IgM",2100,2609.04,"Gov: Occup. Healthc.","Immunology","Congenital Diseases","Public"
"3170001174","COCA",800,1004.64,"Gov: University","ClinChem fully automated","DAT","Public"
"3170403310","Anti-HBs",5079,5622.65,"Gov: Hospital","Immunology","Hepatitis","Public"
"3170006986","CHOL",400,48.19,"Gov: Hospital","ClinChem fully automated","Substrates","Public"
"3170008257","UREA/BUN",6145,233.47,"Prv: Laboratory","ClinChem fully automated","Substrates","Private"
"3170404285","TNT",16568,23828.99,"Gov: Hospital","Immunology","Cardiac","Public"
"3170405813","VANCO",157,240.46,"Gov: Hospital","ClinChem fully automated","TDM","Public"
"3170006591","CEA",249,449.78,"Prv: Laboratory","Immunology","Oncology","Private"
"3170403043","GENT",575,2630.21,"Gov: Hospital","ClinChem fully automated","TDM","Public"
"3170404019","GGT",22400,1864.94,"Gov: Hospital","ClinChem fully automated","Enzymes","Public"
"3170008304","Toxo IgM",18813,16333.05,"Prv: Laboratory","Immunology","Congenital Diseases","Private"
"3170060317","VANCO",3400,0,"Prv: Laboratory","ClinChem fully automated","TDM","Private"
"3170000573","GLU",800,126.25,"Prv: Research","ClinChem fully automated","Substrates","Private"
"3170434721","Toxo IgM",67157,41998.11,"Prv: Laboratory","Immunology","Congenital Diseases","Private"
"3170403216","HDL-C",9332,3465.73,"Gov: Hospital","ClinChem fully automated","Substrates","Public"
"3170014741","TSH",41499,20546.71,"Prv: Laboratory","Immunology","Thyroid","Private"
"3170403285","TP",57300,2408.51,"Gov: Hospital","ClinChem fully automated","Substrates","Public"
"3170010653","Prealb",753,2093.03,"Prv: Laboratory","ClinChem fully automated","Specific Proteins","Private"
"3170432112","mALB",4660,5216.12,"Prv: Laboratory","ClinChem fully automated","Specific Proteins","Private"
"3170431715","UA",3600,0,"Prv: Laboratory","ClinChem fully automated","Substrates","Private"
"3170403961","HGLOB",1715,2675.44,"Gov: Hospital","ClinChem fully automated","Specific Proteins","Public"
"3170404266","Mg",5524,2185.17,"Gov: Hospital","ClinChem fully automated","Substrates","Public"
"3170001168","SI",5500,11.9,"Gov: University","ClinChem fully automated","Substrates","Public"
"3170006693","CREA-J",28700,1913.47,"Prv: Laboratory","ClinChem fully automated","Substrates","Private"
"3170015252","ProBNP",6822,65960.34,"Prv: Laboratory","Immunology","Cardiac","Private"
"3170403794","NH3",253,751.85,"Gov: Hospital","ClinChem fully automated","Substrates","Public"
"3170434560","Vit D Total",156300,0,"Prv: Laboratory","Immunology","Bone","Private"
"3170432227","FE",27438,5299.34,"Gov: Hospital","ClinChem fully automated","Substrates","Public"
"3170403425","BIL-T",41249,5593.2,"Gov: Hospital","ClinChem fully automated","Substrates","Public"
"3170434560","PHOS",93000,0,"Prv: Laboratory","ClinChem fully automated","Substrates","Private"
"3170404019","CEA",1800,1609.95,"Gov: Hospital","Immunology","Oncology","Public"
"3170411939","CO2",3750,376.95,"Gov: Hospital","ClinChem fully automated","Substrates","Public"
"3170060867","Anti-HCV",2241,5652.17,"Prv: Laboratory","Immunology","Hepatitis","Private"
"3170403413","DIGOX",1500,0,"Gov: Hospital","ClinChem fully automated","TDM","Public"
